MdALE errors symbolic regression,MdALE errors Eleveld
0.19652799,0.13370636
0.12843406,0.09402421
0.28250486,0.28153196
0.06255897,0.05044551
0.08046876,0.076903395
0.0691298,0.08146732
0.31794736,0.22245169
0.22085689,0.22735383
0.15789838,0.19847871
0.084944576,0.12485801
0.426659,0.09042072
0.07329617,0.17228132
0.17634717,0.21856977
0.3781487,0.17019543
0.12090583,0.08974912
0.19601405,0.11999729
0.19206077,0.12891135
0.168399,0.14660965
0.11616008,0.1315328
0.19426474,0.17317358
0.16745608,0.10487989
0.27391165,0.2097229
0.29705167,0.10592033
0.37764707,0.14392939
0.55886996,0.30497742
0.14901814,0.16373204
0.2414969,0.24981526
0.30510527,0.31739873
0.4247061,0.24723738
0.36044276,0.17740247
0.5429459,0.49867755
0.23877858,0.11090088
0.29862773,0.15226215
0.14288579,0.28052568
0.23904955,0.19460958
0.39271232,0.2905016
0.32719675,0.27922478
0.18427695,0.27739984
0.23388052,0.26026428
0.17528662,0.18090469
0.15107599,0.24216205
0.2832106,0.25520778
0.35459667,0.10585114
0.23046702,0.15418056
0.34303808,0.16002688
0.16942553,0.17351386
0.20637129,0.2651049
0.33270365,0.22464888
0.6723103,0.39518052
0.1240654,0.097199574
0.19635445,0.16412014
0.17539361,0.097954765
0.27957729,0.17992543
0.113661736,0.16738936
0.10642746,0.10814676
0.3176095,0.30176252
0.21969171,0.15833856
0.129596,0.09632182
0.5107863,0.19049717
0.3087199,0.15951931
0.46622205,0.2532944
0.2229934,0.20924172
0.465748,0.29268414
0.39483505,0.14071727
0.3076142,0.26202184
0.4944674,0.35807404
0.37394467,0.15031034
0.547162,0.4811317
0.4030225,0.2524094
0.5715861,0.46710014
0.09605792,0.3053686
0.2962005,0.50699973
0.24989147,0.41116345
0.20883778,0.5699043
0.105829515,0.37991333
0.21831924,0.5361923
0.13898902,0.37101334
0.23536712,0.5150564
0.05037743,0.21817553
0.10744053,0.44594514
0.4414381,0.5978534
0.08844767,0.37475887
0.046543572,0.23659852
0.104946986,0.4400935
0.22859222,0.42836368
0.04443473,0.35902056
0.18924996,0.30324405
0.20121443,0.47216153
0.11616674,0.36168534
0.20933926,0.35900605
0.051077686,0.41786444
0.2743001,0.60114676
0.32461023,0.057384845
0.14918478,0.29836035
0.26907206,0.5651834
0.26801845,0.15535395
0.25408155,0.16857174
0.054585405,0.3791097
0.12658222,0.33087522
0.14111611,0.28683883
0.10165821,0.35453632
0.19064227,0.52267176
0.07912789,0.34966093
0.17513648,0.40947127
0.11774701,0.36890864
0.47337538,0.75897014
0.07141051,0.5058899
0.22610931,0.5943433
0.20231056,0.2820347
0.13039525,0.20937812
0.12369094,0.35737416
0.15244731,0.16196172
0.13967896,0.43890512
0.11137153,0.41598198
0.34619477,0.69169843
0.08286951,0.4429367
0.22316942,0.62172675
0.043553248,0.32015294
0.18357912,0.27456552
0.053967632,0.41356948
0.12180463,0.3667635
0.31745517,0.6017436
0.13674438,0.45724884
0.40405077,0.8020824
0.19644406,0.28838977
0.07392492,0.38487998
